architecture,space,detector,scenario,auroc,fpr95,aupr
vit,raw,kmeans,near_ood,0.48965881391208826,0.9222955815134586,0.39239738881351005
vit,raw,kmeans,far_ood,0.9773158638382103,0.042153377348908075,0.758415577593909
vit,raw,dbscan,near_ood,0.5544641314063178,0.8735398679532758,0.4346909594202801
vit,raw,dbscan,far_ood,0.9910748004323424,0.019299136617572373,0.9022381243092068
vit,umap,kmeans,near_ood,0.6151990508412757,0.9674961909598782,0.48158847786054326
vit,umap,kmeans,far_ood,0.17895529749580028,0.9954291518537328,0.07990565849465373
vit,umap,dbscan,near_ood,0.5914942570171691,0.9375317420010157,0.5166648494064103
vit,umap,dbscan,far_ood,0.5007207062025497,0.9542915185373286,0.13465919618810251
cnn,raw,kmeans,near_ood,0.6239795112341502,0.9225495175215845,0.5710737621490976
cnn,raw,kmeans,far_ood,0.9988967619903375,0.0045708481462671405,0.9921454615337341
cnn,raw,dbscan,near_ood,0.7062839884599602,0.824530218384967,0.6347595561551155
cnn,raw,dbscan,far_ood,0.9999751761274107,0.0,0.9998419482271546
cnn,umap,kmeans,near_ood,0.5896858509400934,0.8732859319451498,0.42951425577202607
cnn,umap,kmeans,far_ood,0.5894245419385085,0.8811579481970544,0.16945803134745713
cnn,umap,dbscan,near_ood,0.5749349785983369,0.9103605891315388,0.46640996403857987
cnn,umap,dbscan,far_ood,0.5525846941698898,0.9103605891315388,0.17672181959545125
